Date,Open,High,Low,Close,Adj Close,Volume
1/29/1993,43.96875,43.96875,43.75,43.9375,25.33403,1003200
2/1/1993,43.96875,44.25,43.96875,44.25,25.514206,480500
2/2/1993,44.21875,44.375,44.125,44.34375,25.568264,201300
2/3/1993,44.40625,44.84375,44.375,44.8125,25.838547,529400
2/4/1993,44.96875,45.09375,44.46875,45,25.946674,531500
2/5/1993,44.96875,45.0625,44.71875,44.96875,25.92864,492100
2/8/1993,44.96875,45.125,44.90625,44.96875,25.92864,596100
2/9/1993,44.8125,44.8125,44.5625,44.65625,25.748461,122100
2/10/1993,44.65625,44.75,44.53125,44.71875,25.784491,379600
2/11/1993,44.78125,45.125,44.78125,44.9375,25.91062,19500
2/12/1993,44.875,44.875,44.59375,44.59375,25.712397,42500
2/16/1993,44.46875,44.46875,43.40625,43.46875,25.063744,374800
2/17/1993,43.46875,43.53125,43.28125,43.4375,25.045736,210900
2/18/1993,43.9375,43.9375,42.8125,43.40625,25.027721,378100
2/19/1993,43.40625,43.5625,43.34375,43.5625,25.117802,34900
2/22/1993,43.6875,43.78125,43.5625,43.71875,25.207899,513600
2/23/1993,43.84375,43.875,43.46875,43.6875,25.189877,373700
2/24/1993,43.71875,44.25,43.71875,44.25,25.514206,26300
2/25/1993,44.21875,44.375,44.125,44.34375,25.568264,44500
2/26/1993,44.4375,44.4375,44.1875,44.40625,25.604311,66200
3/1/1993,44.5625,44.5625,44.21875,44.28125,25.53223,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,25.91062,182400
3/3/1993,45,45.15625,44.9375,45.125,26.018711,280100
3/4/1993,45.1875,45.1875,44.875,44.875,25.874578,89500
3/5/1993,44.9375,45.125,44.71875,44.75,25.802517,40000
3/8/1993,44.84375,45.75,44.84375,45.75,26.379097,50800
3/9/1993,45.65625,45.6875,45.5,45.59375,26.289003,169300
3/10/1993,45.59375,45.6875,45.40625,45.6875,26.343075,194400
3/11/1993,45.71875,45.84375,45.5,45.5625,26.270979,70900
3/12/1993,45.1875,45.21875,44.8125,45.09375,26.000717,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,26.126852,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,26.126852,30800
3/17/1993,45.25,45.25,44.96875,45.03125,25.964678,21800
3/18/1993,45.21875,45.5,45.21875,45.3125,26.126852,59300
3/19/1993,45.28125,45.28125,45.03125,45.03125,26.087307,66900
3/22/1993,44.59375,44.875,44.5625,44.78125,25.942471,183400
3/23/1993,44.90625,44.9375,44.8125,44.875,25.996784,55200
3/24/1993,44.8125,45.0625,44.59375,44.875,25.996784,37200
3/25/1993,44.90625,45.25,44.84375,45.15625,26.159721,110100
3/26/1993,45.125,45.15625,44.875,44.90625,26.014881,101500
3/29/1993,44.9375,45.3125,44.9375,45.09375,26.12351,87100
3/30/1993,45.15625,45.21875,45.09375,45.21875,26.195927,56000
3/31/1993,45.34375,45.46875,45.1875,45.1875,26.177813,111600
4/1/1993,45.25,45.25,44.9375,45.03125,26.087307,129500
4/2/1993,44.65625,44.65625,44.09375,44.09375,25.544199,59400
4/5/1993,44.4375,44.4375,44.1875,44.3125,25.670921,172200
4/6/1993,44.40625,44.40625,44.0625,44.1875,25.598509,129700
4/7/1993,44.25,44.34375,44.15625,44.34375,25.689026,28000
4/8/1993,44.53125,44.53125,44.09375,44.28125,25.652819,180800
4/12/1993,44.71875,44.9375,44.65625,44.90625,26.014881,348500
4/13/1993,44.875,45.15625,44.84375,45,26.069199,146100
4/14/1993,45.03125,45.0625,44.90625,44.9375,26.033003,119600
4/15/1993,44.90625,45.03125,44.75,44.9375,26.033003,148600
4/16/1993,44.96875,45.03125,44.875,44.9375,26.033003,47900
4/19/1993,44.9375,45.0625,44.71875,44.75,25.924376,157000
4/20/1993,44.6875,44.75,44.25,44.53125,25.797634,279500
4/21/1993,44.625,44.625,44.375,44.5,25.779547,67900
4/22/1993,44.3125,44.6875,43.9375,43.9375,25.453678,97700
4/23/1993,43.84375,43.96875,43.6875,43.75,25.345057,106000
4/26/1993,43.78125,43.9375,43.28125,43.40625,25.145918,62600
4/27/1993,43.34375,43.875,43.34375,43.875,25.417479,156800
4/28/1993,43.8125,43.90625,43.71875,43.78125,25.363155,85900
4/29/1993,43.875,43.96875,43.625,43.96875,25.471781,85000
4/30/1993,44.125,44.28125,44.03125,44.03125,25.507992,88500
5/3/1993,44.09375,44.3125,43.90625,44.3125,25.670921,80500
5/4/1993,44.40625,44.625,44.34375,44.46875,25.761446,149100
5/5/1993,44.46875,44.75,44.46875,44.59375,25.833843,109000
5/6/1993,44.53125,44.5625,44.40625,44.4375,25.743343,54700
5/7/1993,44.46875,44.46875,44.28125,44.34375,25.689026,68000
5/10/1993,44.40625,44.6875,44.40625,44.4375,25.743343,113900
5/11/1993,44.4375,44.625,44.3125,44.625,25.851973,42600
5/12/1993,44.4375,44.59375,44.4375,44.5625,25.815735,31000
5/13/1993,44.375,44.375,44,44.03125,25.507992,129100
5/14/1993,44.03125,44.15625,43.96875,44,25.48988,63500
5/17/1993,44.125,44.15625,43.9375,44.15625,25.58041,34000
5/18/1993,44.1875,44.21875,43.96875,44.125,25.562286,105200
5/19/1993,44.125,45.03125,43.84375,45.03125,26.087307,50200
5/20/1993,45.03125,45.15625,44.9375,45.15625,26.159721,98200
5/21/1993,45.1875,45.25,44.71875,44.75,25.924376,221400
5/24/1993,44.84375,45.09375,44.84375,44.9375,26.033003,30500
5/25/1993,45.125,45.125,45.03125,45.03125,26.087307,191800
5/26/1993,45.15625,45.625,45.125,45.59375,26.413166,102400
5/27/1993,45.65625,45.65625,45.375,45.4375,26.322651,53800
5/28/1993,45.40625,45.40625,45,45.21875,26.195927,79100
6/1/1993,45.375,45.8125,45.3125,45.65625,26.449369,28300
6/2/1993,45.53125,45.75,45.34375,45.59375,26.413166,20300
6/3/1993,45.5,45.5,45.34375,45.4375,26.322651,21600
6/4/1993,45.3125,45.3125,45.09375,45.28125,26.232128,32000
6/7/1993,45.375,45.375,45.125,45.125,26.1416,121400
6/8/1993,45,45,44.71875,44.71875,25.90626,104500
6/9/1993,44.875,45.0625,44.8125,44.875,25.996784,43300
6/10/1993,44.84375,44.9375,44.75,44.90625,26.014881,17900
6/11/1993,45.0625,45.15625,44.90625,45.09375,26.12351,647400
6/14/1993,45.15625,45.1875,45.03125,45.03125,26.087307,64200
6/15/1993,45.09375,45.125,44.9375,44.9375,26.033003,142400
6/16/1993,44.9375,45.03125,44.8125,45.03125,26.087307,330900
6/17/1993,45.125,45.1875,45.03125,45.1875,26.177813,37400
6/18/1993,44.84375,44.84375,44.5,44.5,25.96225,58500
6/21/1993,44.625,44.625,44.53125,44.59375,26.016941,29300
6/22/1993,44.65625,44.65625,44.5625,44.625,26.035172,137500
6/23/1993,44.625,44.625,44.21875,44.21875,25.798149,227600
6/24/1993,44.34375,44.8125,44.34375,44.8125,26.144579,243700
6/25/1993,44.78125,44.90625,44.75,44.78125,26.126335,44800
6/28/1993,45,45.28125,44.9375,45.28125,26.418056,439900
6/29/1993,45.21875,45.21875,45,45.0625,26.290422,207500
6/30/1993,45.125,45.21875,45,45.0625,26.290422,437600
7/1/1993,45.125,45.125,44.875,44.9375,26.217489,605700
7/2/1993,44.78125,44.8125,44.53125,44.6875,26.07163,285400
7/6/1993,44.625,44.75,44.15625,44.21875,25.798149,246400
7/7/1993,44.1875,44.40625,44.1875,44.34375,25.87109,343700
7/8/1993,44.375,44.9375,44.3125,44.84375,26.162802,248200
7/9/1993,44.84375,44.96875,44.75,44.96875,26.235727,378200
7/12/1993,44.90625,44.96875,44.84375,44.9375,26.217489,373700
7/13/1993,44.96875,45.09375,44.65625,44.90625,26.199261,389600
7/14/1993,44.9375,45.1875,44.90625,45.0625,26.290422,617300
7/15/1993,45.03125,45.03125,44.78125,44.875,26.181025,443800
7/16/1993,44.90625,44.9375,44.6875,44.75,26.108107,216400
7/19/1993,44.75,44.75,44.59375,44.71875,26.089848,188200
7/20/1993,44.6875,44.84375,44.46875,44.84375,26.162802,68500
7/21/1993,44.78125,44.8125,44.65625,44.8125,26.144579,142700
7/22/1993,44.75,44.8125,44.5,44.5,25.96225,632400
7/23/1993,44.59375,44.71875,44.5625,44.71875,26.089848,286200
7/26/1993,44.84375,45.0625,44.84375,44.96875,26.235727,121300
7/27/1993,45,45.03125,44.78125,44.9375,26.217489,92800
7/28/1993,44.84375,44.9375,44.78125,44.84375,26.162802,30800
7/29/1993,44.9375,45.21875,44.875,45.09375,26.308649,331000
7/30/1993,45.09375,45.09375,44.78125,44.84375,26.162802,75300
8/2/1993,44.90625,45.125,44.90625,44.96875,26.235727,41300
8/3/1993,45.0625,45.1875,44.84375,45,26.253962,81600
8/4/1993,45,45.09375,44.875,45,26.253962,434000
8/5/1993,45,45,44.84375,44.90625,26.199261,36800
8/6/1993,45.03125,45.0625,44.90625,44.96875,26.235727,402300
8/9/1993,45.09375,45.34375,45,45.21875,26.381577,828200
8/10/1993,45.1875,45.21875,45.125,45.1875,26.363352,604900
8/11/1993,45.15625,45.3125,45.15625,45.1875,26.363352,542200
8/12/1993,45.3125,45.3125,44.90625,45.0625,26.290422,303700
8/13/1993,45.09375,45.15625,45.09375,45.125,26.326868,103500
8/16/1993,45.15625,45.5,45.15625,45.375,26.472736,241800
8/17/1993,45.34375,45.53125,45.34375,45.53125,26.563894,369300
8/18/1993,45.6875,45.875,45.65625,45.78125,26.709745,414300
8/19/1993,45.8125,45.8125,45.71875,45.78125,26.709745,28500
8/20/1993,45.6875,45.8125,45.65625,45.8125,26.727982,80700
8/23/1993,45.625,45.75,45.625,45.71875,26.673292,15600
8/24/1993,45.71875,46.21875,45.71875,46.21875,26.965006,273400
8/25/1993,46.21875,46.4375,46.15625,46.25,26.983231,242300
8/26/1993,46.28125,46.53125,46.09375,46.28125,27.001472,120000
8/27/1993,46.15625,46.25,46.15625,46.25,26.983231,25700
8/30/1993,46.28125,46.5,46.28125,46.4375,27.09263,183500
8/31/1993,46.40625,46.5625,46.34375,46.5625,27.165543,66500
9/1/1993,46.40625,46.59375,46.40625,46.5,27.129093,136500
9/2/1993,46.53125,46.59375,46.3125,46.34375,27.037924,472400
9/3/1993,46.3125,46.4375,46.25,46.375,27.056158,630500
9/7/1993,46.375,46.4375,46,46.0625,26.873848,196400
9/8/1993,46.0625,46.0625,45.59375,45.90625,26.782681,269900
9/9/1993,45.71875,46.03125,45.71875,46,26.837383,239200
9/10/1993,46.125,46.4375,46.0625,46.40625,27.074381,106500
9/13/1993,46.5625,46.5625,46.4375,46.4375,27.09263,66900
9/14/1993,46.3125,46.3125,46.09375,46.25,26.983231,184500
9/15/1993,46.0625,46.40625,45.90625,46.375,27.056158,101000
9/16/1993,46.3125,46.34375,46.15625,46.1875,26.946766,54300
9/17/1993,45.875,45.90625,45.75,45.8125,26.894514,200900
9/20/1993,45.875,45.96875,45.4375,45.4375,26.674379,57800
9/21/1993,45.5,45.5625,44.8125,45.28125,26.582653,318200
9/22/1993,45.4375,45.71875,45.375,45.65625,26.802811,439700
9/23/1993,45.78125,45.9375,45.71875,45.90625,26.949554,88500
9/24/1993,45.84375,45.875,45.71875,45.78125,26.876169,53500
9/27/1993,46.125,46.28125,46.125,46.28125,27.169708,274600
9/28/1993,46.3125,46.3125,46.15625,46.1875,27.11466,158300
9/29/1993,46.1875,46.3125,45.96875,46.03125,27.022943,221000
9/30/1993,46.03125,46.125,45.84375,45.9375,26.967905,99300
10/1/1993,45.875,46.21875,45.8125,46.15625,27.096338,22700
10/4/1993,46.21875,46.21875,46.09375,46.21875,27.133018,1038500
10/5/1993,46.3125,46.3125,46,46.15625,27.096338,436500
10/6/1993,46.1875,46.375,46.125,46.125,27.077972,209200
10/7/1993,46.1875,46.1875,45.96875,46,27.004606,59400
10/8/1993,46.125,46.15625,45.71875,46.0625,27.041296,54400
10/11/1993,46.15625,46.25,46.15625,46.15625,27.096338,467100
10/12/1993,46.21875,46.25,46.1875,46.21875,27.133018,26200
10/13/1993,46.25,46.25,46.15625,46.21875,27.133018,139100
10/14/1993,46.40625,46.8125,46.28125,46.8125,27.481573,108100
10/15/1993,47.03125,47.15625,46.90625,47.0625,27.628347,1502500
10/18/1993,47.03125,47.03125,46.875,46.9375,27.554956,722400
10/19/1993,46.875,46.96875,46.59375,46.59375,27.353151,880100
10/20/1993,46.75,46.75,46.5625,46.65625,27.389845,230400
10/21/1993,46.6875,46.6875,46.53125,46.59375,27.353151,56200
10/22/1993,46.65625,46.84375,46.375,46.375,27.224739,390700
10/25/1993,46.40625,46.5625,46.28125,46.5,27.298124,114500
10/26/1993,46.46875,46.5,46.3125,46.46875,27.279778,186200
10/27/1993,46.40625,46.53125,46.40625,46.5,27.298124,118400
10/28/1993,46.5625,46.96875,46.5625,46.84375,27.499928,129600
10/29/1993,46.8125,46.875,46.78125,46.84375,27.499928,80700
11/1/1993,46.78125,47,46.78125,46.96875,27.573313,36400
11/2/1993,46.90625,47,46.65625,46.9375,27.554956,262100
11/3/1993,46.90625,46.90625,46.125,46.34375,27.206387,479100
11/4/1993,46.34375,46.34375,45.8125,45.84375,26.912861,130400
11/5/1993,45.71875,46.0625,45.53125,46.0625,27.041296,363200
11/8/1993,46.09375,46.25,45.96875,46.125,27.077972,367600
11/9/1993,46.4375,46.46875,46.125,46.15625,27.096338,246900
11/10/1993,46.15625,46.5,46.03125,46.5,27.298124,46500
11/11/1993,46.5,46.625,46.34375,46.375,27.224739,88900
11/12/1993,46.46875,46.75,46.4375,46.59375,27.353151,108200
11/15/1993,46.6875,46.6875,46.4375,46.5625,27.334805,243300
11/16/1993,46.65625,46.8125,46.46875,46.78125,27.463226,492600
11/17/1993,46.8125,46.8125,46.40625,46.53125,27.31645,39600
11/18/1993,46.46875,46.5625,46.28125,46.40625,27.243076,240800
11/19/1993,46.25,46.375,46.21875,46.3125,27.188044,106000
11/22/1993,46.1875,46.21875,45.875,46.03125,27.022943,165300
11/23/1993,46.28125,46.3125,46.03125,46.28125,27.169708,89700
11/24/1993,46.40625,46.5,46.34375,46.46875,27.279778,77200
11/26/1993,46.59375,46.59375,46.46875,46.5,27.298124,1019800
11/29/1993,46.625,46.71875,46.3125,46.3125,27.188044,517500
11/30/1993,46.28125,46.5625,46.25,46.34375,27.206387,230000
12/1/1993,46.59375,46.625,46.40625,46.40625,27.243076,379200
12/2/1993,46.5,46.5625,46.40625,46.53125,27.31645,352000
12/3/1993,46.5,46.71875,46.5,46.71875,27.42654,306000
12/6/1993,46.78125,46.9375,46.78125,46.875,27.51827,99500
12/7/1993,46.875,46.90625,46.78125,46.84375,27.499928,88800
12/8/1993,46.84375,46.84375,46.78125,46.84375,27.499928,146700
12/9/1993,46.84375,46.90625,46.625,46.6875,27.408197,416500
12/10/1993,46.71875,46.71875,46.5,46.59375,27.353151,412900
12/13/1993,46.59375,46.875,46.53125,46.875,27.51827,273200
12/14/1993,46.90625,46.90625,46.53125,46.53125,27.31645,41900
12/15/1993,46.59375,46.625,46.46875,46.46875,27.279778,82600
12/16/1993,46.65625,46.65625,46.5625,46.625,27.371508,78200
12/17/1993,46.40625,46.59375,46.375,46.5625,27.521919,104700
12/20/1993,46.53125,46.65625,46.5,46.625,27.558876,68800
12/21/1993,46.5625,46.5625,46.40625,46.46875,27.466513,205700
12/22/1993,46.59375,46.8125,46.5,46.78125,27.651217,410300
12/23/1993,46.75,46.84375,46.6875,46.75,27.632757,533800
12/27/1993,46.75,47,46.75,47,27.780527,447100
12/28/1993,46.96875,47.125,46.9375,47.09375,27.835949,880600
12/29/1993,47.125,47.15625,47,47.03125,27.798992,266700
12/30/1993,47,47,46.75,46.84375,27.688169,219900
12/31/1993,46.9375,47,46.5625,46.59375,27.5404,312900
1/3/1994,46.59375,46.65625,46.40625,46.46875,27.466513,960900
1/4/1994,46.53125,46.65625,46.46875,46.65625,27.577351,164300
1/5/1994,46.71875,46.78125,46.53125,46.75,27.632757,710900
1/6/1994,46.8125,46.84375,46.6875,46.75,27.632757,201000
1/7/1994,46.84375,47.0625,46.71875,47.03125,27.798992,775500
1/10/1994,47.09375,47.59375,46.96875,47.59375,28.131489,593700
1/11/1994,47.5625,47.5625,47.34375,47.5,28.076057,295200
1/12/1994,47.53125,47.53125,47.1875,47.34375,27.983702,158400
1/13/1994,47.21875,47.3125,47.15625,47.21875,27.909826,244300
1/14/1994,47.375,47.5,47.375,47.40625,28.020649,137200
1/17/1994,47.40625,47.46875,47.3125,47.40625,28.020649,17700
1/18/1994,47.46875,47.53125,47.375,47.46875,28.057604,166400
1/19/1994,47.40625,47.46875,47.25,47.34375,27.983702,200800
1/20/1994,47.40625,47.5,47.375,47.46875,28.057604,281100
1/21/1994,47.53125,47.53125,47.34375,47.375,28.002182,85600
1/24/1994,47.34375,47.5625,47.1875,47.1875,27.89134,373800
1/25/1994,47.21875,47.25,47.09375,47.1875,27.89134,310400
1/26/1994,47.1875,47.34375,47.125,47.3125,27.965244,145100
1/27/1994,47.40625,47.8125,47.34375,47.75,28.223845,344500
1/28/1994,47.9375,48.03125,47.875,47.875,28.297718,356500
1/31/1994,48.0625,48.3125,48,48.21875,28.500916,313800
2/1/1994,48.15625,48.15625,47.90625,47.96875,28.353134,303600
2/2/1994,48.125,48.28125,48.09375,48.28125,28.537844,307600
2/3/1994,48.1875,48.1875,47.90625,48.0625,28.408564,466100
2/4/1994,48.0625,48.125,46.96875,46.96875,27.762056,1403200
2/7/1994,46.84375,47.3125,46.84375,47.1875,27.89134,516400
2/8/1994,47.28125,47.28125,47.03125,47.21875,27.909826,188200
2/9/1994,47.25,47.4375,47.1875,47.40625,28.020649,144600
2/10/1994,47.375,47.40625,47,47,27.780527,883900
2/11/1994,47.03125,47.28125,46.8125,47.15625,27.87289,519400
2/14/1994,47.0625,47.375,47,47.21875,27.909826,2742100
2/15/1994,47.3125,47.5,47.25,47.46875,28.057604,374700
2/16/1994,47.53125,47.53125,47.34375,47.4375,28.039137,287600
2/17/1994,47.65625,47.6875,47.03125,47.15625,27.87289,342400
2/18/1994,47.1875,47.21875,46.75,46.875,27.706652,313300
2/22/1994,47,47.34375,47,47.34375,27.983702,154500
2/23/1994,47.40625,47.4375,47.0625,47.21875,27.909826,391700
2/24/1994,47.0625,47.0625,46.5625,46.59375,27.5404,770800
2/25/1994,46.65625,46.8125,46.5625,46.8125,27.669722,531300
2/28/1994,46.9375,47.0625,46.8125,46.8125,27.669722,333000
3/1/1994,46.8125,46.90625,46.375,46.625,27.558876,423600
3/2/1994,46.03125,46.6875,45.90625,46.6875,27.595821,581500
3/3/1994,46.625,46.625,46.4375,46.5625,27.521919,223200
3/4/1994,46.5625,46.8125,46.40625,46.6875,27.595821,595800
3/7/1994,46.84375,47,46.84375,46.9375,27.743586,539800
