Date,Open,High,Low,Close,Adj Close,Volume
2000-11-13,30.219999,30.219999,30.219999,30.219999,20.259413,0
2000-11-14,31.010000,31.010000,31.010000,31.010000,20.789034,0
2000-11-15,31.200001,31.200001,31.200001,31.200001,20.916407,0
2000-11-16,30.700001,30.700001,30.700001,30.700001,20.581209,0
2000-11-17,30.559999,30.559999,30.559999,30.559999,20.487347,0
2000-11-20,29.840000,29.840000,29.840000,29.840000,20.004665,0
2000-11-21,29.850000,29.850000,29.850000,29.850000,20.011374,0
2000-11-22,29.240000,29.240000,29.240000,29.240000,19.602428,0
2000-11-24,29.830000,29.830000,29.830000,29.830000,19.997969,0
2000-11-27,29.930000,29.930000,29.930000,29.930000,20.065002,0
2000-11-28,29.459999,29.459999,29.459999,29.459999,19.749914,0
2000-11-29,29.510000,29.510000,29.510000,29.510000,19.783445,0
2000-11-30,28.930000,28.930000,28.930000,28.930000,19.394600,0
2000-12-01,29.080000,29.080000,29.080000,29.080000,19.495167,0
2000-12-04,29.190001,29.190001,29.190001,29.190001,19.568911,0
2000-12-05,30.480000,30.480000,30.480000,30.480000,20.433712,0
2000-12-06,29.950001,29.950001,29.950001,29.950001,20.078411,0
2000-12-07,29.790001,29.790001,29.790001,29.790001,19.971149,0
2000-12-08,30.590000,30.590000,30.590000,30.590000,20.507462,0
2000-12-11,30.959999,30.959999,30.959999,30.959999,20.755505,0
2000-12-12,30.650000,30.650000,30.650000,30.650000,20.547684,0
2000-12-13,30.320000,30.320000,30.320000,30.320000,20.326460,0
2000-12-14,29.799999,29.799999,29.799999,29.799999,19.977854,0
2000-12-15,29.230000,29.230000,29.230000,29.230000,19.595726,0
2000-12-18,29.440001,29.440001,29.440001,29.440001,19.736502,0
2000-12-19,28.980000,28.980000,28.980000,28.980000,19.428123,0
2000-12-20,27.799999,27.799999,27.799999,27.799999,18.752878,0
2000-12-21,27.950001,27.950001,27.950001,27.950001,18.854071,0
2000-12-22,28.790001,28.790001,28.790001,28.790001,19.420704,0
2000-12-26,28.969999,28.969999,28.969999,28.969999,19.542118,0
2000-12-27,29.360001,29.360001,29.360001,29.360001,19.805204,0
2000-12-28,29.629999,29.629999,29.629999,29.629999,19.987335,0
2000-12-29,29.260000,29.260000,29.260000,29.260000,19.737753,0
2001-01-02,28.280001,28.280001,28.280001,28.280001,19.076666,0
2001-01-03,29.760000,29.760000,29.760000,29.760000,20.075037,0
2001-01-04,29.389999,29.389999,29.389999,29.389999,19.825445,0
2001-01-05,28.540001,28.540001,28.540001,28.540001,19.252056,0
2001-01-08,28.459999,28.459999,28.459999,28.459999,19.198105,0
2001-01-09,28.610001,28.610001,28.610001,28.610001,19.299280,0
2001-01-10,29.020000,29.020000,29.020000,29.020000,19.575851,0
2001-01-11,29.410000,29.410000,29.410000,29.410000,19.838936,0
2001-01-12,29.299999,29.299999,29.299999,29.299999,19.764734,0
2001-01-16,29.500000,29.500000,29.500000,29.500000,19.899643,0
2001-01-17,29.610001,29.610001,29.610001,29.610001,19.973839,0
2001-01-18,29.940001,29.940001,29.940001,29.940001,20.196451,0
2001-01-19,29.790001,29.790001,29.790001,29.790001,20.095268,0
2001-01-22,29.799999,29.799999,29.799999,29.799999,20.102015,0
2001-01-23,30.270000,30.270000,30.270000,30.270000,20.419058,0
2001-01-24,30.379999,30.379999,30.379999,30.379999,20.493258,0
2001-01-25,30.160000,30.160000,30.160000,30.160000,20.344852,0
2001-01-26,30.129999,30.129999,30.129999,30.129999,20.324619,0
2001-01-29,30.400000,30.400000,30.400000,30.400000,20.506750,0
2001-01-30,30.600000,30.600000,30.600000,30.600000,20.641663,0
2001-01-31,30.389999,30.389999,30.389999,30.389999,20.500002,0
2001-02-01,30.510000,30.510000,30.510000,30.510000,20.580959,0
2001-02-02,29.950001,29.950001,29.950001,29.950001,20.203201,0
2001-02-05,30.010000,30.010000,30.010000,30.010000,20.243675,0
2001-02-06,30.030001,30.030001,30.030001,30.030001,20.257166,0
2001-02-07,29.799999,29.799999,29.799999,29.799999,20.102015,0
2001-02-08,29.600000,29.600000,29.600000,29.600000,19.967093,0
2001-02-09,29.200001,29.200001,29.200001,29.200001,19.697281,0
2001-02-12,29.510000,29.510000,29.510000,29.510000,19.906399,0
2001-02-13,29.250000,29.250000,29.250000,29.250000,19.730997,0
2001-02-14,29.250000,29.250000,29.250000,29.250000,19.730997,0
2001-02-15,29.520000,29.520000,29.520000,29.520000,19.913128,0
2001-02-16,28.980000,28.980000,28.980000,28.980000,19.548868,0
2001-02-20,28.440001,28.440001,28.440001,28.440001,19.184601,0
2001-02-21,27.930000,27.930000,27.930000,27.930000,18.840584,0
2001-02-22,27.799999,27.799999,27.799999,27.799999,18.752878,0
2001-02-23,27.700001,27.700001,27.700001,27.700001,18.685429,0
2001-02-26,28.240000,28.240000,28.240000,28.240000,19.049692,0
2001-02-27,27.920000,27.920000,27.920000,27.920000,18.833836,0
2001-02-28,27.520000,27.520000,27.520000,27.520000,18.564011,0
2001-03-01,27.530001,27.530001,27.530001,27.530001,18.570755,0
2001-03-02,27.410000,27.410000,27.410000,27.410000,18.489807,0
2001-03-05,27.549999,27.549999,27.549999,27.549999,18.584240,0
2001-03-06,27.840000,27.840000,27.840000,27.840000,18.779863,0
2001-03-07,28.010000,28.010000,28.010000,28.010000,18.894545,0
2001-03-08,28.000000,28.000000,28.000000,28.000000,18.887796,0
2001-03-09,27.309999,27.309999,27.309999,27.309999,18.422350,0
2001-03-12,26.150000,26.150000,26.150000,26.150000,17.639854,0
2001-03-13,26.549999,26.549999,26.549999,26.549999,17.909679,0
2001-03-14,25.900000,25.900000,25.900000,25.900000,17.471210,0
2001-03-15,25.990000,25.990000,25.990000,25.990000,17.531923,0
2001-03-16,25.379999,25.379999,25.379999,25.379999,17.168659,0
2001-03-19,25.850000,25.850000,25.850000,25.850000,17.486601,0
2001-03-20,25.250000,25.250000,25.250000,25.250000,17.080725,0
2001-03-21,24.780001,24.780001,24.780001,24.780001,16.762777,0
2001-03-22,24.670000,24.670000,24.670000,24.670000,16.688375,0
2001-03-23,25.180000,25.180000,25.180000,25.180000,17.033371,0
2001-03-26,25.459999,25.459999,25.459999,25.459999,17.222778,0
2001-03-27,26.070000,26.070000,26.070000,26.070000,17.635427,0
2001-03-28,25.420000,25.420000,25.420000,25.420000,17.195709,0
2001-03-29,25.290001,25.290001,25.290001,25.290001,17.107779,0
2001-03-30,25.600000,25.600000,25.600000,25.600000,17.317486,0
2001-04-02,25.200001,25.200001,25.200001,25.200001,17.046888,0
2001-04-03,24.290001,24.290001,24.290001,24.290001,16.431324,0
2001-04-04,24.209999,24.209999,24.209999,24.209999,16.377197,0
2001-04-05,25.330000,25.330000,25.330000,25.330000,17.134838,0
2001-04-06,24.820000,24.820000,24.820000,24.820000,16.789835,0
2001-04-09,25.040001,25.040001,25.040001,25.040001,16.938665,0
2001-04-10,25.740000,25.740000,25.740000,25.740000,17.412180,0
2001-04-11,25.709999,25.709999,25.709999,25.709999,17.391890,0
2001-04-12,26.100000,26.100000,26.100000,26.100000,17.655718,0
2001-04-16,25.990000,25.990000,25.990000,25.990000,17.581301,0
2001-04-17,26.270000,26.270000,26.270000,26.270000,17.770716,0
2001-04-18,27.290001,27.290001,27.290001,27.290001,18.460705,0
2001-04-19,27.670000,27.670000,27.670000,27.670000,18.717760,0
2001-04-20,27.440001,27.440001,27.440001,27.440001,18.562176,0
2001-04-23,27.000000,27.000000,27.000000,27.000000,18.264540,0
2001-04-24,26.700001,26.700001,26.700001,26.700001,18.061592,0
2001-04-25,27.139999,27.139999,27.139999,27.139999,18.359234,0
2001-04-26,27.280001,27.280001,27.280001,27.280001,18.453945,0
2001-04-27,27.690001,27.690001,27.690001,27.690001,18.731293,0
2001-04-30,27.690001,27.690001,27.690001,27.690001,18.731293,0
2001-05-01,28.070000,28.070000,28.070000,28.070000,18.988352,0
2001-05-02,28.150000,28.150000,28.150000,28.150000,19.042477,0
2001-05-03,27.719999,27.719999,27.719999,27.719999,18.751587,0
2001-05-04,28.120001,28.120001,28.120001,28.120001,19.022171,0
2001-05-07,28.030001,28.030001,28.030001,28.030001,18.961296,0
2001-05-08,28.000000,28.000000,28.000000,28.000000,18.941006,0
2001-05-09,27.879999,27.879999,27.879999,27.879999,18.859810,0
2001-05-10,27.860001,27.860001,27.860001,27.860001,18.846292,0
2001-05-11,27.660000,27.660000,27.660000,27.660000,18.711000,0
2001-05-14,27.070000,27.070000,27.070000,27.070000,18.311892,0
2001-05-15,27.730000,27.730000,27.730000,27.730000,18.758350,0
2001-05-16,28.490000,28.490000,28.490000,28.490000,19.272470,0
2001-05-17,28.639999,28.639999,28.639999,28.639999,19.373932,0
2001-05-18,28.709999,28.709999,28.709999,28.709999,19.421289,0
2001-05-21,29.240000,29.240000,29.240000,29.240000,19.779810,0
2001-05-22,29.200001,29.200001,29.200001,29.200001,19.752748,0
2001-05-23,28.709999,28.709999,28.709999,28.709999,19.421289,0
2001-05-24,28.830000,28.830000,28.830000,28.830000,19.502466,0
2001-05-25,28.530001,28.530001,28.530001,28.530001,19.299524,0
2001-05-29,28.250000,28.250000,28.250000,28.250000,19.110117,0
2001-05-30,27.770000,27.770000,27.770000,27.770000,18.785412,0
2001-05-31,27.969999,27.969999,27.969999,27.969999,18.920704,0
